href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10,male,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['19,', 'male', '']",3.0,academic,south,3.75,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10,male,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['19,', 'male', '']",3.0,academic,africa,3.75,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=623,mandarin12,male,"['singapore,', 'singapore']","mandarin
(cmn)","['cantonese', 'spanish', 'french', '']","['23,', 'male', '']",1.0,naturalistic,singapore,23.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=746,mandarin15,female,"['tainan,', 'taiwan']","mandarin
(cmn)","['french', 'swedish', 'japanese', '']","['28,', 'female', '']",11.0,academic,new zealand,4.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=746,mandarin15,female,"['tainan,', 'taiwan']","mandarin
(cmn)","['french', 'swedish', 'japanese', '']","['28,', 'female', '']",11.0,academic,new zealand,4.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=916,mandarin19,male,"['guangxi,', 'china']","mandarin
(cmn)",['none'],"['27,', 'male', '']",13.0,academic,australia,0.33,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1541,mandarin33,male,"['beijing,', 'china']","mandarin
(cmn)","['french', '']","['25,', 'male', '']",6.0,naturalistic,australia,20.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1582,mandarin38,female,"['hunan,', 'china']","mandarin
(cmn)",['none'],"['33,', 'female', '']",12.0,academic,australia,0.1,33.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1614,mandarin40,male,"['sichuan,', 'china']","mandarin
(cmn)","['japanese', 'thai', '']","['28,', 'male', '']",12.0,academic,singapore,9.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1631,mandarin45,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['42,', 'female', '']",12.0,academic,australia,0.1,42.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1736,mandarin49,male,"['shanghai,', 'china']","mandarin
(cmn)","['french', '']","['21,', 'male', '']",10.0,academic,australia,2.5,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2116,mandarin61,female,"['jiangxi,', 'china']","mandarin
(cmn)","['cantonese', '']","['33,', 'female', '']",16.0,academic,islands,17.0,33.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2365,mandarin79,female,"['bahru,', 'malaysia']","mandarin
(cmn)","['malay', 'hokkien', 'cantonese', 'korean', 'japanese', '']","['19,', 'female', '']",2.0,academic,australia,0.1,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2524,mandarin98,female,"['jiangxi,', 'china']","mandarin
(cmn)",['none'],"['25,', 'female', '']",11.0,academic,australia,1.5,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2554,mandarin107,female,"['shanxi,', 'china']","mandarin
(cmn)","['cantonese', 'korean', 'japanese', '']","['26,', 'female', '']",8.0,academic,australia,1.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2557,mandarin108,female,"['guangxi,', 'china']","mandarin
(cmn)","['cantonese', '']","['26,', 'female', '']",14.0,academic,australia,5.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2559,mandarin109,female,"['shanxi,', 'china']","mandarin
(cmn)","['french', '']","['23,', 'female', '']",4.0,academic,australia,0.5,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2560,mandarin110,female,"['liaoning,', 'china']","mandarin
(cmn)","['french', 'german', 'ancient', 'greek', 'latin', '']","['24,', 'female', '']",7.0,academic,australia,2.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2562,mandarin111,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['23,', 'female', '']",6.0,academic,australia,0.2,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2203,arabic107,male,"['saudi', 'arabia']","arabic
(ars)",['none'],"['28,', 'male', '']",12.0,academic,australia,2.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2254,arabic118,male,"['saudi', 'arabia']","arabic
(ars)",['none'],"['40,', 'male', '']",13.0,academic,australia,3.0,40.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2437,arabic141,male,"['cairo,', 'egypt']","arabic
(arz)","['spanish', '']","['35,', 'male', '']",12.0,academic,australia,12.0,35.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=88,english3,female,"['brisbane,', 'australia']","english
(eng)",['none'],"['26,', 'female', '']",0.0,naturalistic,australia,26.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=101,english41,male,"['new', 'zealand']","english
(eng)","['hebrew', 'french', '']","['44,', 'male', '']",0.0,naturalistic,new zealand,21.0,44.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=101,english41,male,"['new', 'zealand']","english
(eng)","['hebrew', 'french', '']","['44,', 'male', '']",0.0,naturalistic,new zealand,21.0,44.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=102,english42,male,"['south', 'africa']","english
(eng)","['afrikaans', 'zulu', '']","['65,', 'male', '']",0.0,naturalistic,south,60.0,65.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=102,english42,male,"['south', 'africa']","english
(eng)","['afrikaans', 'zulu', '']","['65,', 'male', '']",0.0,naturalistic,africa,60.0,65.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=108,english48,male,"['new', 'guinea']","english
(eng)","['tok', 'pisin', 'igbo', '']","['26,', 'male', '']",0.0,naturalistic,new zealand,26.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=117,english56,male,"['ireland,', 'uk']","english
(eng)","['ulster', 'scots', '']","['20,', 'male', '']",0.0,naturalistic,ireland,20.0,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=131,english69,male,"['adelaide,', 'australia']","english
(eng)","['korean', '']","['23,', 'male', '']",0.0,naturalistic,australia,23.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=135,english72,male,"['kilkenny,', 'ireland']","english
(eng)","['irish', '']","['31,', 'male', '']",0.0,naturalistic,ireland,31.0,31.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=136,english73,male,"['darwin,', 'australia']","english
(eng)",['none'],"['24,', 'male', '']",0.0,naturalistic,australia,24.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=140,english77,male,"['melbourne,', 'australia']","english
(eng)","['japanese', '']","['26,', 'male', '']",0.0,naturalistic,australia,26.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=148,english84,male,"['sydney,', 'australia']","english
(eng)","['tok', 'pisin', '']","['45,', 'male', '']",0.0,naturalistic,australia,45.0,45.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=151,english87,female,"['tamworth,', 'australia']","english
(eng)","['esperanto', 'german', '']","['18,', 'female', '']",0.0,naturalistic,australia,18.0,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=156,english91,male,"['kingston,', 'jamaica']","english
(eng)","['patois', '']","['23,', 'male', '']",0.0,naturalistic,jamaica,23.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=427,english112,male,"['virgin', 'islands']","english
(eng)","['french', '']","['21,', 'male', '']",0.0,naturalistic,islands,21.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=439,english113,male,"['wales,', 'uk']","english
(eng)","['french', 'welsh', '']","['31,', 'male', '']",0.0,naturalistic,australia,31.0,31.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=485,english125,male,"['queensland,', 'australia']","english
(eng)",['none'],"['28,', 'male', '']",0.0,naturalistic,australia,28.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=492,english129,male,"['lancashire,', 'uk']","english
(eng)","['korean', 'indonesian', 'polish', 'french', '']","['25,', 'male', '']",0.0,naturalistic,australia,25.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=496,english130,male,"['south', 'africa']","english
(eng)","['afrikaans', '']","['32,', 'male', '']",0.0,naturalistic,south,32.0,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=496,english130,male,"['south', 'africa']","english
(eng)","['afrikaans', '']","['32,', 'male', '']",0.0,naturalistic,africa,32.0,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=525,english148,male,"['sydney,', 'australia']","english
(eng)",['none'],"['31,', 'male', '']",0.0,naturalistic,australia,31.0,31.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=529,english152,male,"['adelaide,', 'australia']","english
(eng)",['none'],"['18,', 'male', '']",0.0,naturalistic,australia,18.0,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=533,english153,male,"['brisbane,', 'australia']","english
(eng)",['none'],"['35,', 'male', '']",0.0,naturalistic,australia,35.0,35.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=536,english156,male,"['dublin,', 'ireland']","english
(eng)","['mandarin', 'french', 'irish', '']","['33,', 'male', '']",0.0,naturalistic,ireland,33.0,33.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=564,english172,male,"['kingston,', 'jamaica']","english
(eng)",['none'],"['49,', 'male', '']",0.0,naturalistic,jamaica,49.0,49.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=568,english174,female,"['sarawak,', 'malaysia']","english
(eng)","['malay', 'chinese', '']","['30,', 'female', '']",0.0,naturalistic,australia,12.0,30.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=568,english174,female,"['sarawak,', 'malaysia']","english
(eng)","['malay', 'chinese', '']","['30,', 'female', '']",0.0,naturalistic,singapore,12.0,30.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=738,english215,male,"['warwickshire,', 'uk']","english
(eng)","['spanish', 'italian', 'yiddish', '']","['20,', 'male', '']",0.0,naturalistic,ireland,20.0,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=754,english221,male,"['london,', 'uk']","english
(eng)","['yoruba', '']","['45,', 'male', '']",0.0,naturalistic,australia,45.0,45.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=771,english225,male,"['scotland,', 'uk']","english
(eng)","['italian', '']","['50,', 'male', '']",0.0,naturalistic,scotland,50.0,50.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=774,english228,female,"['scotland,', 'uk']","english
(eng)","['french', 'german', 'krio', '']","['59,', 'female', '']",0.0,naturalistic,scotland,59.0,59.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=776,english230,male,"['tasmania,', 'australia']","english
(eng)",['none'],"['35,', 'male', '']",0.0,naturalistic,australia,35.0,35.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=817,english241,female,"['new', 'zealand']","english
(eng)","['italian', 'portuguese', '']","['52,', 'female', '']",0.0,naturalistic,new zealand,29.0,52.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=817,english241,female,"['new', 'zealand']","english
(eng)","['italian', 'portuguese', '']","['52,', 'female', '']",0.0,naturalistic,new zealand,29.0,52.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=857,english253,male,"['dublin,', 'ireland']","english
(eng)","['gaelic', 'french', '']","['21,', 'male', '']",0.0,naturalistic,ireland,21.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=859,english255,female,"['new', 'zealand']","english
(eng)","['cantonese', 'japanese', '']","['24,', 'female', '']",0.0,naturalistic,new zealand,24.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=859,english255,female,"['new', 'zealand']","english
(eng)","['cantonese', 'japanese', '']","['24,', 'female', '']",0.0,naturalistic,new zealand,24.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=869,english258,male,"['kilkenny,', 'ireland']","english
(eng)","['irish', 'french', 'german', 'dutch', 'spanish', '']","['24,', 'male', '']",0.0,naturalistic,ireland,23.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=870,english259,male,"['singapore,', 'singapore']","english
(eng)","['mandarin', 'cantonese', 'hokkien', '']","['23,', 'male', '']",0.0,naturalistic,singapore,23.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=902,english269,female,"['adelaide,', 'australia']","english
(eng)","['french', '']","['22,', 'female', '']",0.0,naturalistic,australia,22.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=903,english270,male,"['south', 'africa']","english
(eng)","['afrikaans', 'french', '']","['29,', 'male', '']",0.0,naturalistic,south,29.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=903,english270,male,"['south', 'africa']","english
(eng)","['afrikaans', 'french', '']","['29,', 'male', '']",0.0,naturalistic,africa,29.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=904,english271,female,"['south', 'africa']","english
(eng)","['afrikaans', 'french', '']","['32,', 'female', '']",0.0,naturalistic,south,32.0,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=904,english271,female,"['south', 'africa']","english
(eng)","['afrikaans', 'french', '']","['32,', 'female', '']",0.0,naturalistic,africa,32.0,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=909,english274,female,"['sydney,', 'australia']","english
(eng)","['hokkien', 'mandarin', '']","['25,', 'female', '']",0.0,naturalistic,australia,25.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=922,english279,female,"['singapore,', 'singapore']","english
(eng)","['mandarin', 'hainanese', '']","['30,', 'female', '']",0.0,naturalistic,singapore,30.0,30.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=961,english285,male,"['melbourne,', 'australia']","english
(eng)",['none'],"['50,', 'male', '']",0.0,naturalistic,australia,50.0,50.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=981,english287,female,"['singapore,', 'singapore']","english
(eng)","['cantonese', 'mandarin', 'japanese', '']","['27,', 'female', '']",0.0,naturalistic,singapore,27.0,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1060,english294,female,"['naracoorte,', 'australia']","english
(eng)","['indonesian', 'french', '']","['19,', 'female', '']",0.0,naturalistic,australia,19.0,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1072,english298,male,"['wales,', 'australia']","english
(eng)",['none'],"['22,', 'male', '']",0.0,naturalistic,australia,22.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1076,english300,male,"['dublin,', 'ireland']","english
(eng)","['irish', '']","['18,', 'male', '']",0.0,naturalistic,ireland,18.0,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1085,english302,male,"['melbourne,', 'australia']","english
(eng)","['finnish', '']","['22,', 'male', '']",0.0,naturalistic,australia,22.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1088,english304,female,"['clare,', 'ireland']","english
(eng)","['irish', 'french', '']","['20,', 'female', '']",0.0,naturalistic,ireland,20.0,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1100,english307,male,"['va,', 'usa']","english
(eng)","['spanish', '']","['48,', 'male', '']",0.0,naturalistic,new zealand,48.0,48.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1100,english307,male,"['va,', 'usa']","english
(eng)","['spanish', '']","['48,', 'male', '']",0.0,naturalistic,new zealand,48.0,48.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1101,english308,male,"['wales,', 'uk']","english
(eng)","['welsh', '']","['34,', 'male', '']",0.0,naturalistic,new zealand,34.0,34.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1101,english308,male,"['wales,', 'uk']","english
(eng)","['welsh', '']","['34,', 'male', '']",0.0,naturalistic,new zealand,34.0,34.0
